epoch,duration,f1_test,f1_train,last_is_best,loss_test,loss_train,max_record_id
1,0 days 00:00:00.000009,0.4264361322959301,0.4314029163560134,False,1.0290493033119656,1.0451484089452616,8
2,0 days 00:00:00.000009,0.4553655931557525,0.4677266149374721,False,1.0101570425640922,1.0064854268614751,8
3,0 days 00:00:00.000008,0.46715209760052345,0.4844583020294811,False,0.9984999021217429,0.9910848287913409,8
4,0 days 00:00:00.000008,0.4620005274216068,0.49208291299915047,False,0.9887580438681088,0.9799457997769239,8
5,0 days 00:00:00.000007,0.4529044669317767,0.5001803868862437,False,1.001442719765795,0.9675715188413899,8
6,0 days 00:00:00.000007,0.46123096464578933,0.5062673483886955,False,0.9835341686640329,0.9594229415401877,8
7,0 days 00:00:00.000007,0.4566369846514955,0.5136337713734725,False,0.9953097822220345,0.9495617959431608,8
8,0 days 00:00:00.000008,0.46972389226123834,0.5179204589091502,False,0.9781071298167634,0.943336141407893,8
9,0 days 00:00:00.000009,0.47166546560541694,0.5223892221521518,False,0.9871331882993704,0.9409400762256653,8
10,0 days 00:00:00.000010,0.46932058593519155,0.5317047456456028,False,0.9876845107492069,0.9292287670267451,8
